habitaciones,banos,zona,localizacion,precio,superficie_construida_m2,superficie_parcela_m2
0,0,Noreste,Artá,890000.0,481.0,34900.0
3,2,Norte,Búger,539000.0,150.0,0.0
3,2,Palma,El Terreno,950000.0,98.0,0.0
4,3,Norte,Campanet,1750000.0,168.0,151.0
3,4,Suroeste,Paguera,3850000.0,263.0,0.0
4,4,Central,Moscari,2250000.0,327.0,14600.0
5,5,Suroeste,Sol de Mallorca,7950000.0,786.0,2015.0
3,3,Sur,Cala Pi,1700000.0,219.0,812.0
3,2,Palma,Son Armadams,1088000.0,124.0,0.0
5,3,Central,Santa María,1200000.0,348.0,14200.0
0,0,Suroeste,Calvià,560000.0,0.0,948.0
3,2,Noreste,Cala Ratjada,1230000.0,245.0,700.0
4,5,Noreste,Artá,2790000.0,546.0,15900.0
4,4,Sureste,Felanitx,1600000.0,294.0,904.0
2,2,Son Vida & Palma Alrededores,Palma Golf,1200000.0,173.0,0.0
2,2,Norte,Alcudia,495000.0,63.0,0.0
4,3,Sureste,Cala Santanyi,2200000.0,271.0,7904.0
4,3,Son Vida & Palma Alrededores,Establiments,1200000.0,190.0,0.0
9,8,Central,Sencelles,4500000.0,1706.0,1243.0
6,5,Central,Sencelles,3900000.0,682.0,132500.0
3,2,Palma,Portixol & Molinar,1199000.0,127.0,0.0
0,0,Central,Moscari,520000.0,0.0,15000.0
0,0,Central,Moscari,520000.0,0.0,16800.0
3,2,Norte,Campanet,550000.0,159.0,131.0
6,4,Central,Alaró,1198000.0,313.0,11500.0
3,3,Central,Maria de la Salut,890000.0,175.0,186.0
3,4,Central,Sineu,1190000.0,235.0,286.0
3,4,Central,Lloret de Vista Alegre,1390000.0,296.0,410.0
2,2,Suroeste,Port Andratx,1495000.0,82.0,0.0
4,3,Sureste,Cala d'Or,1795000.0,192.0,8878.0
2,2,Son Vida & Palma Alrededores,Esporles,1725000.0,311.0,553.0
4,4,Norte,Playa de Muro,895000.0,235.0,668.0
3,3,Palma,Palma Catedral - Casco Antiguo,1395000.0,181.0,0.0
4,3,Noreste,Canyamel,1385000.0,234.0,634.0
3,3,Noreste,Son Servera,2200000.0,295.0,7106.0
3,2,Sur,Cala Pi,1390000.0,262.0,321.0
6,4,Son Vida & Palma Alrededores,Palma Golf,3500000.0,518.0,2444.0
0,0,Central,Algaida,250000.0,0.0,15500.0
4,3,Noreste,Colonia de St. Pere,1950000.0,190.0,425.0
