superficie_construida,superficie_parcela,habitaciones,banos,zona,localizacion,precio
481 ㎡,"3,49 ㏊",,,Noreste,Artá,890.000 EUR
150 ㎡,,3.0,2.0,Norte,Búger,539.000 EUR
98 ㎡,,3.0,2.0,Palma,El Terreno,950.000 EUR
168 ㎡,151 ㎡,4.0,3.0,Norte,Campanet,1.750.000 EUR
263 ㎡,,3.0,4.0,Suroeste,Paguera,3.850.000 EUR
327 ㎡,"1,46 ㏊",4.0,4.0,Central,Moscari,2.250.000 EUR
786 ㎡,2.015 ㎡,5.0,5.0,Suroeste,Sol de Mallorca,7.950.000 EUR
219 ㎡,812 ㎡,3.0,3.0,Sur,Cala Pi,1.700.000 EUR
124 ㎡,,3.0,2.0,Palma,Son Armadams,1.088.000 EUR
348 ㎡,"1,42 ㏊",5.0,3.0,Central,Santa María,1.200.000 EUR
,948 ㎡,,,Suroeste,Calvià,560.000 EUR
245 ㎡,700 ㎡,3.0,2.0,Noreste,Cala Ratjada,1.230.000 EUR
546 ㎡,"1,59 ㏊",4.0,5.0,Noreste,Artá,2.790.000 EUR
294 ㎡,904 ㎡,4.0,4.0,Sureste,Felanitx,1.600.000 EUR
173 ㎡,,2.0,2.0,Son Vida & Palma Alrededores,Palma Golf,1.200.000 EUR
63 ㎡,,2.0,2.0,Norte,Alcudia,495.000 EUR
271 ㎡,7.904 ㎡,4.0,3.0,Sureste,Cala Santanyi,2.200.000 EUR
190 ㎡,,4.0,3.0,Son Vida & Palma Alrededores,Establiments,1.200.000 EUR
1.706 ㎡,1.243 ㎡,9.0,8.0,Central,Sencelles,4.500.000 EUR
682 ㎡,"13,25 ㏊",6.0,5.0,Central,Sencelles,3.900.000 EUR
127 ㎡,,3.0,2.0,Palma,Portixol & Molinar,1.199.000 EUR
,"1,5 ㏊",,,Central,Moscari,520.000 EUR
,"1,68 ㏊",,,Central,Moscari,520.000 EUR
159 ㎡,131 ㎡,3.0,2.0,Norte,Campanet,550.000 EUR
313 ㎡,11.500 ㎡,6.0,4.0,Central,Alaró,1.198.000 EUR
175 ㎡,186 ㎡,3.0,3.0,Central,Maria de la Salut,890.000 EUR
235 ㎡,286 ㎡,3.0,4.0,Central,Sineu,1.190.000 EUR
296 ㎡,410 ㎡,3.0,4.0,Central,Lloret de Vista Alegre,1.390.000 EUR
82 ㎡,,2.0,2.0,Suroeste,Port Andratx,1.495.000 EUR
192 ㎡,8.878 ㎡,4.0,3.0,Sureste,Cala d'Or,1.795.000 EUR
311 ㎡,553 ㎡,2.0,2.0,Son Vida & Palma Alrededores,Esporles,1.725.000 EUR
