ID,livingSpaceIcon.svg,propertyAreaIcon.svg,descripcion,zona,localizacion,precio,bedroomIcon.svg,bathroomIcon.svg
W-02UQCH,481 ㎡,"3,49 ㏊",Auténtica casa rústica para reformar,Noreste,Artá,890.000 EUR,,
W-02YPMI,150 ㎡,,"Acogedora casa adosada con bonitas vistas en Búger, Mallorca",Norte,Búger,539.000 EUR,3,2
W-046MWU,98 ㎡,,Exclusiva casa adosada en El Terreno,Palma,El Terreno,950.000 EUR,3,2
W-047UAV,168 ㎡,151 ㎡,Casa de pueblo lista para entrar a vivir con piscina y vistas panorámicas,Norte,Campanet,1.750.000 EUR,4,3
W-047VLO,263 ㎡,,Bonavida: Moderna villa familiar con encanto mediterráneo y vistas al mar,Suroeste,Paguera,3.850.000 EUR,3,4
W-02XKJD,327 ㎡,"1,46 ㏊",Encantadora y cuidada finca con licencia ETV y vistas panorámicas en Moscari,Central,Moscari,2.250.000 EUR,4,4
W-02WNOK,786 ㎡,2.015 ㎡,Villa Embat - Villa moderna de lujo en Sol de Mallorca,Suroeste,Sol de Mallorca,7.950.000 EUR,5,5
W-02UNN8,219 ㎡,812 ㎡,Villa con vistas al mar y ETV en Cala Pi,Sur,Cala Pi,1.700.000 EUR,3,3
W-047IER,124 ㎡,,Exclusiva vivienda de alto standing en Son Armadams,Palma,Son Armadams,1.088.000 EUR,3,2
W-047TMV,348 ㎡,"1,42 ㏊",Auténtica finca mallorquina con piscina y vistas a la montaña en Santa María del Camí,Central,Santa María,1.200.000 EUR,5,3
W-047G8H,,948 ㎡,"Terreno orientado al sur con vistas, a poca distancia del pueblo de Calvià",Suroeste,Calvià,560.000 EUR,,
W-047THR,245 ㎡,700 ㎡,Encantadora casa en ubicación muy tranquila con licencia de alquiler,Noreste,Cala Ratjada,1.230.000 EUR,3,2
W-02ZSDB,546 ㎡,"1,59 ㏊",Casa con piscina infinita y vistas a Artà,Noreste,Artá,2.790.000 EUR,4,5
W-04706F,294 ㎡,904 ㎡,Casa de nueva construcción con autentico molino,Sureste,Felanitx,1.600.000 EUR,4,4
W-047E7N,173 ㎡,,Ático en ubicación privilegiada junto a Son Vida,Son Vida & Palma Alrededores,Palma Golf,1.200.000 EUR,2,2
W-047AUI,63 ㎡,,Apartamento en primera línea con vistas despejadas al mar,Norte,Alcudia,495.000 EUR,2,2
W-00XOQM,271 ㎡,7.904 ㎡,Finca de piedra natural refomada cerca de Santanyí,Sureste,Cala Santanyi,2.200.000 EUR,4,3
W-02Z410,190 ㎡,,Elegante planta baja con jardín y piscina en Establiments,Son Vida & Palma Alrededores,Establiments,1.200.000 EUR,4,3
W-02XF1T,1.706 ㎡,1.243 ㎡,Joya única en el corazón de Sencelles,Central,Sencelles,4.500.000 EUR,9,8
W-02Q8YG,682 ㎡,"13,25 ㏊","Excelente finca con propio viñedo, olivar y un encanto increíble",Central,Sencelles,3.900.000 EUR,6,5
W-047NQ1,127 ㎡,,"Ático luminoso con cocina abierta, jacuzzi y vistas al mar",Palma,Portixol & Molinar,1.199.000 EUR,3,2
